dataset,subject,question_id,model_type,stage,cache_name,layer_idx,entropy_raw,entropy_normalized,logit_lens_temperature,vocab_size,kl_prev_layer,kl_vector_align
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,16,nan,nan,1.0,0,0.893886923789978,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,17,nan,nan,1.0,0,0.8480656743049622,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,18,nan,nan,1.0,0,0.8079820871353149,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,19,nan,nan,1.0,0,0.8261278867721558,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,20,nan,nan,1.0,0,0.8191657662391663,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,21,nan,nan,1.0,0,0.7921016216278076,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,22,nan,nan,1.0,0,0.8666294813156128,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,23,nan,nan,1.0,0,0.8687548637390137,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,24,nan,nan,1.0,0,0.7955758571624756,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,25,nan,nan,1.0,0,0.8241362571716309,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,26,nan,nan,1.0,0,0.8522646427154541,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,27,nan,nan,1.0,0,0.8346199989318848,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,28,nan,nan,1.0,0,0.8329569697380066,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,29,nan,nan,1.0,0,0.8633437156677246,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,30,nan,nan,1.0,0,0.8128041625022888,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,31,nan,nan,1.0,0,0.9178962111473083,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,32,nan,nan,1.0,0,0.9060605764389038,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,33,nan,nan,1.0,0,0.8840026259422302,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,34,nan,nan,1.0,0,0.8739580512046814,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,35,nan,nan,1.0,0,1.2097077369689941,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,0,nan,nan,1.0,0,nan,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,1,nan,nan,1.0,0,2.189598798751831,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,2,nan,nan,1.0,0,1.294789433479309,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,3,nan,nan,1.0,0,0.9976064562797546,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,4,nan,nan,1.0,0,1.3542654514312744,last
