layer_mapping,KL_0_6B-R,KL_0_6B-4B,KL_R-4B,JS_0_6B-R,JS_0_6B-4B,JS_R-4B
21 -> 29,0.024654,6.215656,6.199319,0.006064,0.639592,0.635218
22 -> 30,0.038490,8.457292,8.709970,0.009335,0.652174,0.669927
23 -> 31,0.041549,7.198833,7.575724,0.009157,0.666484,0.669994
24 -> 32,0.028493,7.032017,7.029613,0.007355,0.659845,0.657335
25 -> 33,0.019927,4.247827,4.136615,0.004879,0.560068,0.560106
26 -> 34,0.050704,3.387980,3.350154,0.012259,0.466597,0.460009
27 -> 35,0.034040,15.988862,16.022102,0.007975,0.693070,0.693075
